title,company,location,skills
Social Media Assistant,Govt of Punjab - Health Dept,Amritsar,"English, Customer Support, PowerPoint, Field Work, Teamwork, Tally, Hardware Support, Documentation"
Computer Operator,Punjab Rural Development Dept,Jalandhar,"Communication, Data Entry, MS Office, Typing, Hardware Support, Punjabi"
Lab Technician,PGRKAM Partner Employer,Pathankot,"MS Office, Hindi, Teamwork, Punjabi, Customer Support, Excel, Communication, Networking"
MIS Executive,Punjab Skill Development Mission,Hoshiarpur,"Hindi, Tally, MS Office, Data Entry, Customer Support, Networking"
Hardware Technician,Govt of Punjab - Health Dept,Bathinda,"English, Teamwork, Hindi, Customer Support"
Computer Operator,Govt of Punjab - Revenue Dept,Hoshiarpur,"Customer Support, Communication, Hindi, Documentation, Hardware Support, Tally"
Lab Technician,PGRKAM Partner Employer,Bathinda,"Tally, Networking, Customer Support, Teamwork, PowerPoint, Hardware Support, Communication"
Computer Operator,PGRKAM Partner Employer,Bathinda,"Hindi, Tally, Field Work, SQL"
MIS Executive,Punjab Skill Development Mission,Firozpur,"Documentation, Excel, Tally, Hindi, Communication, Punjabi, Teamwork, PowerPoint"
Career Counsellor,Govt of Punjab - Revenue Dept,Bathinda,"PowerPoint, Networking, SQL, MS Office, Field Work, Hindi, English, Tally"
Helpdesk Executive,PGRKAM Partner Employer,Hoshiarpur,"Documentation, PowerPoint, Excel, Typing, SQL, Hardware Support, Punjabi"
Social Media Assistant,Punjab Skill Development Mission,Bathinda,"Customer Support, Typing, Hardware Support, SQL"
Helpdesk Executive,PSEB,Hoshiarpur,"Hindi, Networking, Customer Support, Teamwork, Data Entry"
Data Entry Operator,Punjab Rural Development Dept,Jalandhar,"Networking, Punjabi, Data Entry, Documentation"
Apprentice - IT Support,Punjab Skill Development Mission,Amritsar,"Typing, PowerPoint, Hindi, MS Office, Communication, Teamwork, SQL, English"
Customer Support Executive,PGRKAM Partner Employer,Ludhiana,"Customer Support, MS Office, Field Work, SQL, Networking"
IT Support Technician,Punjab Digital Office,Bathinda,"Data Entry, Teamwork, Excel, Tally, Communication, PowerPoint, Networking, MS Office"
IT Support Technician,Govt of Punjab - Health Dept,Pathankot,"Hardware Support, PowerPoint, Tally, Teamwork, Networking, Customer Support"
Data Entry Operator,Punjab Digital Office,Pathankot,"Hindi, Communication, PowerPoint, Customer Support, Tally, SQL"
Admin Assistant,Govt of Punjab - Health Dept,Mohali,"Tally, SQL, PowerPoint, Punjabi, Data Entry"
IT Support Technician,Govt of Punjab - Revenue Dept,Jalandhar,"English, Teamwork, MS Office, Data Entry"
District Coordinator,Punjab Rural Development Dept,Amritsar,"Field Work, Documentation, Data Entry, PowerPoint, English"
Helpdesk Executive,PGRKAM Partner Employer,Hoshiarpur,"Teamwork, Customer Support, PowerPoint, Communication, Excel"
MIS Executive,Govt of Punjab - Revenue Dept,Patiala,"Networking, Teamwork, Customer Support, Documentation, English, Hindi, Field Work"
Career Counsellor,Govt of Punjab - Revenue Dept,Gurdaspur,"Data Entry, SQL, Hardware Support, Typing, Excel, Customer Support, Teamwork"
Office Assistant,PGRKAM Partner Employer,Amritsar,"Typing, Customer Support, Excel, Hindi, English"
Lab Technician,Govt of Punjab - Revenue Dept,Hoshiarpur,"Punjabi, Customer Support, Hardware Support, SQL, English, Documentation"
Lab Technician,PGRKAM Partner Employer,Jalandhar,"Punjabi, Field Work, Hindi, Networking, Tally, Customer Support"
IT Support Technician,Govt of Punjab - Health Dept,Hoshiarpur,"Typing, Excel, Teamwork, PowerPoint, Hindi, SQL"
Computer Operator,Punjab Digital Office,Mohali,"Customer Support, Data Entry, English, Hardware Support, Field Work, SQL, Teamwork"
Admin Assistant,Punjab Skill Development Mission,Jalandhar,"Networking, PowerPoint, Hardware Support, Documentation, Customer Support, SQL, Punjabi, MS Office"
Apprentice - IT Support,PGRKAM Partner Employer,Firozpur,"Teamwork, Typing, Customer Support, Documentation, Data Entry, Networking, Hardware Support, Punjabi"
IT Support Technician,Govt of Punjab - Health Dept,Patiala,"Networking, Punjabi, Field Work, Tally, SQL, Teamwork, Data Entry"
Field Coordinator,Punjab Digital Office,Jalandhar,"Teamwork, Customer Support, Communication, Documentation, Hindi, Typing, SQL"
Customer Support Executive,Punjab Skill Development Mission,Gurdaspur,"Communication, Typing, MS Office, PowerPoint, Field Work, Customer Support, English"
MIS Executive,Punjab Skill Development Mission,Bathinda,"Networking, English, Typing, Tally, Field Work, Hardware Support"
Computer Operator,Punjab Rural Development Dept,Bathinda,"Hardware Support, SQL, PowerPoint, MS Office, Data Entry, Networking, Typing"
Field Coordinator,Punjab Skill Development Mission,Amritsar,"Communication, Data Entry, Field Work, Punjabi, SQL, MS Office"
Computer Operator,Govt of Punjab - Health Dept,Pathankot,"Tally, PowerPoint, Teamwork, Excel, English, MS Office"
Office Assistant,Govt of Punjab - Revenue Dept,Hoshiarpur,"Teamwork, Excel, Hardware Support, Customer Support, English"
Office Assistant,PGRKAM Partner Employer,Amritsar,"Hindi, Networking, MS Office, Teamwork, Documentation, PowerPoint, Typing"
Career Counsellor,Punjab Digital Office,Mohali,"Excel, Hardware Support, Typing, Teamwork, English, Customer Support"
Computer Operator,Govt of Punjab - Revenue Dept,Jalandhar,"Hardware Support, Customer Support, Teamwork, Excel, Field Work"
Social Media Assistant,Govt of Punjab - Health Dept,Ludhiana,"English, Hardware Support, Customer Support, MS Office, Networking, Field Work, Documentation"
Lab Technician,Govt of Punjab - Health Dept,Gurdaspur,"Field Work, English, Customer Support, Hardware Support, Punjabi"
Computer Operator,Punjab Rural Development Dept,Hoshiarpur,"MS Office, English, Punjabi, Customer Support"
Hardware Technician,Punjab Digital Office,Firozpur,"Excel, Customer Support, English, Communication, Documentation, Tally, Punjabi"
Computer Operator,Punjab Rural Development Dept,Mohali,"SQL, Documentation, Typing, Hindi"
MIS Executive,PSEB,Patiala,"Field Work, English, Hardware Support, Documentation, SQL"
Customer Support Executive,PGRKAM Partner Employer,Patiala,"Hindi, Networking, MS Office, Communication, Hardware Support"
Helpdesk Executive,Punjab Digital Office,Firozpur,"Teamwork, Excel, Tally, PowerPoint, Field Work, Communication, SQL, English"
Hardware Technician,Punjab Rural Development Dept,Patiala,"Data Entry, Documentation, PowerPoint, Customer Support, Typing"
IT Support Technician,PSEB,Jalandhar,"Communication, Field Work, Teamwork, Data Entry, PowerPoint"
Customer Support Executive,PGRKAM Partner Employer,Bathinda,"Punjabi, Communication, Tally, English, Typing, Networking, Hardware Support"
Data Entry Operator,Punjab Digital Office,Patiala,"Teamwork, Hardware Support, Communication, English, Hindi"
Career Counsellor,PGRKAM Partner Employer,Jalandhar,"Teamwork, SQL, Communication, Field Work"
IT Support Technician,Punjab Digital Office,Amritsar,"Data Entry, Tally, Hardware Support, Excel"
Office Assistant,Punjab Digital Office,Pathankot,"Documentation, SQL, Excel, PowerPoint, Teamwork, English, Communication, Hardware Support"
Data Entry Operator,Govt of Punjab - Health Dept,Mohali,"Typing, Customer Support, Hindi, Punjabi, Teamwork, Data Entry, MS Office, PowerPoint"
Admin Assistant,PGRKAM Partner Employer,Bathinda,"Field Work, Communication, MS Office, Networking"
Career Counsellor,Punjab Skill Development Mission,Amritsar,"Punjabi, Teamwork, Typing, SQL, Hindi, Communication, Documentation, Tally"
Helpdesk Executive,PGRKAM Partner Employer,Mohali,"Typing, Tally, SQL, Punjabi, English, Networking, Data Entry"
Hardware Technician,Punjab Rural Development Dept,Ludhiana,"Punjabi, Excel, Networking, English, Teamwork, Hardware Support, Communication"
Hardware Technician,Punjab Digital Office,Gurdaspur,"Tally, SQL, Hardware Support, MS Office"
Office Assistant,Punjab Digital Office,Firozpur,"Punjabi, Teamwork, MS Office, Field Work, Customer Support, Communication, Typing"
Apprentice - IT Support,Punjab Skill Development Mission,Pathankot,"MS Office, Communication, Documentation, Field Work, Punjabi"
Computer Operator,Punjab Skill Development Mission,Gurdaspur,"Documentation, PowerPoint, Tally, Punjabi, Data Entry, Networking, SQL"
MIS Executive,Punjab Rural Development Dept,Amritsar,"Tally, Excel, Field Work, Communication, Hindi, English, Data Entry"
IT Support Technician,PGRKAM Partner Employer,Ludhiana,"SQL, Field Work, Tally, Punjabi, Hindi, Data Entry, PowerPoint"
Field Coordinator,Punjab Rural Development Dept,Bathinda,"PowerPoint, Documentation, Excel, Tally, English, Customer Support, SQL"
Office Assistant,Govt of Punjab - Revenue Dept,Ludhiana,"Field Work, SQL, English, Data Entry, Communication"
Apprentice - IT Support,Govt of Punjab - Health Dept,Patiala,"Communication, Documentation, Typing, SQL, Teamwork, MS Office, Excel"
MIS Executive,Punjab Digital Office,Jalandhar,"Documentation, MS Office, Data Entry, English, Excel, Hindi, Networking"
Hardware Technician,Punjab Rural Development Dept,Firozpur,"SQL, Communication, Networking, Field Work, Punjabi, Data Entry, English, Tally"
Social Media Assistant,Punjab Digital Office,Hoshiarpur,"Data Entry, PowerPoint, MS Office, Networking, English, Communication"
Customer Support Executive,PSEB,Mohali,"Teamwork, Hardware Support, Punjabi, Networking"
IT Support Technician,Punjab Rural Development Dept,Bathinda,"Field Work, Networking, Documentation, Communication, Data Entry"
Office Assistant,Punjab Digital Office,Gurdaspur,"Field Work, Excel, Documentation, Typing"
MIS Executive,Punjab Digital Office,Ludhiana,"Documentation, SQL, Teamwork, MS Office, Hardware Support, Punjabi, Customer Support, PowerPoint"
Field Coordinator,PGRKAM Partner Employer,Hoshiarpur,"Networking, Data Entry, Customer Support, Punjabi, Excel, Tally, MS Office, Hardware Support"
Social Media Assistant,PSEB,Pathankot,"Hardware Support, PowerPoint, Teamwork, Excel, MS Office, SQL, Typing"
Computer Operator,Govt of Punjab - Revenue Dept,Ludhiana,"PowerPoint, Networking, Tally, Field Work, Hardware Support"
Apprentice - IT Support,PSEB,Amritsar,"Typing, Teamwork, Communication, Documentation, SQL, Field Work"
Admin Assistant,Punjab Rural Development Dept,Jalandhar,"Field Work, Networking, PowerPoint, MS Office, SQL, Hardware Support, English, Hindi"
Data Entry Operator,PGRKAM Partner Employer,Ludhiana,"Data Entry, Excel, Field Work, Hardware Support, Networking, Communication, PowerPoint"
Hardware Technician,PSEB,Hoshiarpur,"Hardware Support, MS Office, Customer Support, Data Entry, Communication, Documentation"
Data Entry Operator,Punjab Rural Development Dept,Amritsar,"Communication, PowerPoint, SQL, Tally"
Social Media Assistant,Govt of Punjab - Health Dept,Patiala,"English, Data Entry, PowerPoint, Hardware Support, Documentation, Typing, Networking, Communication"
Helpdesk Executive,PGRKAM Partner Employer,Patiala,"English, Data Entry, Hindi, Punjabi, Excel, Field Work, Documentation, Customer Support"
Career Counsellor,Punjab Rural Development Dept,Patiala,"SQL, Teamwork, Communication, Hardware Support, English, Data Entry"
Computer Operator,PGRKAM Partner Employer,Hoshiarpur,"Customer Support, Hardware Support, Communication, Typing, English, Excel, Field Work"
Hardware Technician,Punjab Rural Development Dept,Bathinda,"Excel, English, Networking, Typing, Documentation, Hardware Support"
Customer Support Executive,Punjab Skill Development Mission,Mohali,"Typing, Networking, MS Office, Data Entry"
District Coordinator,Govt of Punjab - Revenue Dept,Patiala,"Typing, SQL, Hindi, PowerPoint, Customer Support"
Hardware Technician,Punjab Rural Development Dept,Bathinda,"Communication, Customer Support, Hindi, English"
MIS Executive,PSEB,Ludhiana,"Punjabi, Communication, Field Work, Tally, Documentation, MS Office, Networking"
Field Coordinator,Punjab Rural Development Dept,Bathinda,"Punjabi, Teamwork, English, Data Entry, Typing, Hardware Support, Customer Support"
MIS Executive,Punjab Digital Office,Firozpur,"Documentation, Teamwork, SQL, Hardware Support"
Career Counsellor,PSEB,Firozpur,"Tally, Teamwork, Excel, SQL, Networking, Customer Support, Communication"
Data Entry Operator,PGRKAM Partner Employer,Patiala,"Field Work, Typing, Excel, Punjabi"
Data Entry Operator,Punjab Skill Development Mission,Gurdaspur,"Hardware Support, SQL, Typing, PowerPoint, Excel, English, Teamwork"
Helpdesk Executive,Punjab Skill Development Mission,Hoshiarpur,"Field Work, Hardware Support, Networking, Hindi, Excel, PowerPoint, SQL"
Data Entry Operator,PGRKAM Partner Employer,Mohali,"English, Punjabi, Hindi, Excel, MS Office"
Apprentice - IT Support,Punjab Rural Development Dept,Hoshiarpur,"Field Work, English, Documentation, MS Office, Networking"
Helpdesk Executive,PSEB,Ludhiana,"MS Office, Typing, Customer Support, Hindi"
Lab Technician,Punjab Rural Development Dept,Ludhiana,"Teamwork, Communication, Punjabi, Hindi, PowerPoint, MS Office, Documentation, Typing"
District Coordinator,Govt of Punjab - Revenue Dept,Mohali,"SQL, Excel, Networking, Teamwork, Hindi, English, Field Work"
Office Assistant,Govt of Punjab - Revenue Dept,Patiala,"Hindi, Teamwork, Excel, SQL, Customer Support, Hardware Support, English"
Social Media Assistant,Punjab Digital Office,Jalandhar,"Excel, Communication, Typing, Teamwork, Networking"
MIS Executive,Punjab Rural Development Dept,Bathinda,"Networking, Hindi, Punjabi, MS Office"
Office Assistant,Punjab Rural Development Dept,Bathinda,"Customer Support, PowerPoint, Field Work, Excel, Networking"
Office Assistant,Govt of Punjab - Health Dept,Jalandhar,"MS Office, Hindi, Field Work, English, Teamwork, Communication, PowerPoint, Documentation"
MIS Executive,Punjab Rural Development Dept,Pathankot,"English, MS Office, SQL, Excel, Punjabi, Data Entry, Tally, Typing"
Social Media Assistant,Punjab Digital Office,Hoshiarpur,"Customer Support, Typing, MS Office, Hindi"
Customer Support Executive,Punjab Digital Office,Hoshiarpur,"Tally, English, Hardware Support, SQL, Hindi"
Admin Assistant,PGRKAM Partner Employer,Firozpur,"Punjabi, Networking, Data Entry, Teamwork, MS Office, Field Work, PowerPoint"
MIS Executive,Govt of Punjab - Revenue Dept,Bathinda,"Field Work, Documentation, SQL, Excel, Typing, Customer Support"
District Coordinator,Punjab Rural Development Dept,Ludhiana,"Tally, Excel, Punjabi, MS Office"
Apprentice - IT Support,Govt of Punjab - Revenue Dept,Amritsar,"Teamwork, English, Customer Support, Hardware Support, Field Work"
Computer Operator,Punjab Digital Office,Bathinda,"English, Typing, Teamwork, PowerPoint, Punjabi, Hardware Support"
Admin Assistant,PGRKAM Partner Employer,Amritsar,"SQL, Hardware Support, Punjabi, Data Entry, Teamwork, Excel, Hindi"
Customer Support Executive,Govt of Punjab - Revenue Dept,Amritsar,"Documentation, Hindi, Field Work, Customer Support, Punjabi"
Data Entry Operator,PSEB,Firozpur,"Data Entry, Punjabi, Tally, PowerPoint, Customer Support"
Apprentice - IT Support,Punjab Rural Development Dept,Amritsar,"Data Entry, Documentation, PowerPoint, Hardware Support, Punjabi, Typing, Customer Support"
Lab Technician,Punjab Rural Development Dept,Bathinda,"Typing, Data Entry, Hindi, Excel, Tally"
Data Entry Operator,PSEB,Amritsar,"MS Office, Hindi, Customer Support, Communication, PowerPoint, Data Entry, Field Work"
Social Media Assistant,Punjab Skill Development Mission,Hoshiarpur,"Hindi, English, PowerPoint, Typing, Data Entry, Excel"
Data Entry Operator,PSEB,Firozpur,"Networking, MS Office, English, Teamwork, Field Work"
Helpdesk Executive,Govt of Punjab - Health Dept,Firozpur,"Teamwork, Communication, Punjabi, MS Office, Documentation"
Office Assistant,PSEB,Jalandhar,"Hardware Support, MS Office, Customer Support, Punjabi, SQL"
Career Counsellor,Govt of Punjab - Health Dept,Bathinda,"Typing, SQL, Excel, Hardware Support, Field Work, Customer Support"
Field Coordinator,Govt of Punjab - Health Dept,Jalandhar,"PowerPoint, Teamwork, English, Field Work, Hindi, SQL"
Helpdesk Executive,Govt of Punjab - Health Dept,Bathinda,"Excel, Teamwork, Customer Support, Hindi, Field Work, Hardware Support"
Data Entry Operator,Punjab Skill Development Mission,Amritsar,"Hardware Support, English, Customer Support, PowerPoint, Teamwork, Data Entry"
MIS Executive,Punjab Digital Office,Patiala,"PowerPoint, Typing, Documentation, Hardware Support, English, Networking"
Lab Technician,Govt of Punjab - Health Dept,Amritsar,"Customer Support, Hardware Support, Tally, Documentation"
Hardware Technician,Punjab Skill Development Mission,Amritsar,"Communication, Teamwork, Excel, Documentation, English, Typing, Data Entry"
MIS Executive,Govt of Punjab - Revenue Dept,Gurdaspur,"Documentation, Data Entry, Customer Support, SQL, Punjabi, Excel, English, Field Work"
Career Counsellor,Govt of Punjab - Health Dept,Firozpur,"Data Entry, Punjabi, Typing, Networking, SQL"
Field Coordinator,Punjab Digital Office,Amritsar,"Punjabi, Teamwork, Documentation, Typing, Tally, Customer Support, SQL, Excel"
Customer Support Executive,Govt of Punjab - Revenue Dept,Pathankot,"Punjabi, Teamwork, Communication, Hindi, Documentation"
Field Coordinator,Punjab Digital Office,Firozpur,"Punjabi, Hardware Support, Hindi, Teamwork, Field Work, Customer Support, SQL"
Customer Support Executive,Punjab Digital Office,Firozpur,"Networking, English, Typing, Field Work, SQL, Customer Support"
Computer Operator,PSEB,Amritsar,"Tally, Teamwork, Typing, MS Office, Hindi, Documentation, Field Work"
Data Entry Operator,PGRKAM Partner Employer,Jalandhar,"Documentation, Teamwork, Field Work, Hindi, Typing, PowerPoint"
Field Coordinator,Punjab Rural Development Dept,Bathinda,"Hardware Support, Teamwork, Tally, Documentation, Data Entry, English, Field Work"
IT Support Technician,Govt of Punjab - Health Dept,Patiala,"PowerPoint, Teamwork, Punjabi, Documentation"
IT Support Technician,PGRKAM Partner Employer,Hoshiarpur,"Field Work, Typing, Punjabi, Networking, SQL, Teamwork, MS Office, Hardware Support"
Lab Technician,Govt of Punjab - Health Dept,Ludhiana,"PowerPoint, Data Entry, Excel, Communication, MS Office"
District Coordinator,Govt of Punjab - Revenue Dept,Gurdaspur,"Hindi, Tally, Hardware Support, Data Entry, Typing"
Customer Support Executive,Punjab Skill Development Mission,Ludhiana,"Punjabi, Teamwork, Hardware Support, Customer Support, MS Office, Data Entry, Communication, Excel"
Data Entry Operator,PGRKAM Partner Employer,Patiala,"Field Work, SQL, English, Communication, Customer Support, Data Entry"
Helpdesk Executive,Punjab Rural Development Dept,Gurdaspur,"Documentation, Hardware Support, MS Office, SQL, Punjabi, Excel"
Data Entry Operator,Govt of Punjab - Health Dept,Mohali,"Teamwork, MS Office, Communication, Customer Support, SQL"
Helpdesk Executive,Punjab Rural Development Dept,Bathinda,"Hindi, Teamwork, SQL, English, Customer Support"
Data Entry Operator,Punjab Skill Development Mission,Firozpur,"English, Communication, Teamwork, Field Work"
Admin Assistant,Punjab Skill Development Mission,Jalandhar,"English, Data Entry, Documentation, Hindi"
Helpdesk Executive,Punjab Digital Office,Firozpur,"Teamwork, Customer Support, English, Excel"
District Coordinator,Govt of Punjab - Revenue Dept,Gurdaspur,"Tally, Typing, Field Work, Documentation"
Helpdesk Executive,Govt of Punjab - Revenue Dept,Patiala,"MS Office, Networking, Documentation, Customer Support, Field Work, Teamwork"
Office Assistant,PSEB,Pathankot,"Punjabi, Hindi, Data Entry, English, Documentation, MS Office, Customer Support, Communication"
Admin Assistant,Punjab Digital Office,Bathinda,"Networking, Hardware Support, Hindi, Communication, English"
MIS Executive,Punjab Skill Development Mission,Mohali,"Field Work, Hindi, Punjabi, MS Office"
Hardware Technician,Govt of Punjab - Revenue Dept,Firozpur,"Communication, Tally, Customer Support, MS Office, PowerPoint, Teamwork, Documentation, Punjabi"
Office Assistant,Punjab Digital Office,Gurdaspur,"Excel, Networking, Typing, PowerPoint, Hindi, Tally, Communication"
Field Coordinator,PGRKAM Partner Employer,Jalandhar,"Excel, Documentation, Tally, MS Office, Data Entry, English"
IT Support Technician,Punjab Digital Office,Patiala,"Typing, Tally, Networking, Teamwork, Excel, Customer Support, PowerPoint"
District Coordinator,Govt of Punjab - Health Dept,Jalandhar,"Teamwork, SQL, Typing, Tally, Hindi, Excel, Data Entry"
MIS Executive,Punjab Skill Development Mission,Mohali,"SQL, Communication, Hardware Support, Teamwork, Documentation, Typing, Hindi"
Apprentice - IT Support,Govt of Punjab - Health Dept,Hoshiarpur,"Punjabi, Communication, Hardware Support, Documentation"
MIS Executive,Punjab Digital Office,Hoshiarpur,"Excel, Data Entry, Hardware Support, Teamwork, MS Office, Documentation"
Lab Technician,Punjab Digital Office,Gurdaspur,"Typing, PowerPoint, Documentation, Punjabi, Data Entry"
Social Media Assistant,PSEB,Amritsar,"Hindi, Documentation, Data Entry, Hardware Support, MS Office"
Data Entry Operator,Punjab Rural Development Dept,Jalandhar,"Punjabi, SQL, Typing, Customer Support, Excel, Hardware Support, Documentation"
Customer Support Executive,Punjab Rural Development Dept,Mohali,"Field Work, Documentation, English, Punjabi"
Customer Support Executive,Punjab Digital Office,Firozpur,"SQL, Documentation, Teamwork, Customer Support, English, Data Entry"
Helpdesk Executive,PSEB,Bathinda,"Punjabi, Hardware Support, Teamwork, Data Entry, Field Work, Communication, Networking"
District Coordinator,PSEB,Ludhiana,"Excel, Teamwork, Customer Support, Punjabi, Field Work"
Office Assistant,Govt of Punjab - Revenue Dept,Bathinda,"Typing, Networking, Excel, Hardware Support, Communication, SQL, Punjabi, Hindi"
Admin Assistant,PGRKAM Partner Employer,Amritsar,"MS Office, Hardware Support, Tally, Hindi"
Customer Support Executive,Govt of Punjab - Revenue Dept,Gurdaspur,"Data Entry, Hindi, Excel, Field Work, Tally, Communication, PowerPoint"
MIS Executive,Punjab Rural Development Dept,Patiala,"SQL, Tally, Hardware Support, Typing, Punjabi, PowerPoint, MS Office, Hindi"
Lab Technician,PGRKAM Partner Employer,Gurdaspur,"Hindi, Punjabi, Communication, MS Office, PowerPoint, Excel, Documentation"
Admin Assistant,Govt of Punjab - Health Dept,Ludhiana,"Networking, Documentation, Hindi, Customer Support, Hardware Support"
MIS Executive,PGRKAM Partner Employer,Gurdaspur,"Customer Support, Typing, Hardware Support, Tally"
IT Support Technician,Punjab Skill Development Mission,Ludhiana,"English, Hindi, PowerPoint, MS Office"
Field Coordinator,Govt of Punjab - Revenue Dept,Bathinda,"Field Work, English, MS Office, Punjabi"
Social Media Assistant,Punjab Skill Development Mission,Jalandhar,"Hindi, Communication, English, PowerPoint, Hardware Support"
MIS Executive,PSEB,Ludhiana,"Hardware Support, Hindi, SQL, Excel, Teamwork, Customer Support, PowerPoint"
Field Coordinator,Punjab Rural Development Dept,Amritsar,"PowerPoint, Typing, SQL, Customer Support, Hindi, Punjabi, Teamwork, Hardware Support"
IT Support Technician,PSEB,Patiala,"Hindi, Documentation, Data Entry, English, Customer Support"
Social Media Assistant,Punjab Digital Office,Ludhiana,"Hindi, Documentation, SQL, MS Office, Field Work, Customer Support, Punjabi, Networking"
Field Coordinator,Govt of Punjab - Health Dept,Amritsar,"Communication, Excel, Punjabi, Data Entry"
Social Media Assistant,Punjab Digital Office,Jalandhar,"Field Work, SQL, Typing, Tally"
Career Counsellor,Punjab Digital Office,Mohali,"Hindi, Documentation, Communication, English, MS Office, Tally, Networking, Punjabi"
Lab Technician,Punjab Skill Development Mission,Pathankot,"Data Entry, Excel, English, PowerPoint, Punjabi"
Hardware Technician,Govt of Punjab - Health Dept,Amritsar,"Excel, Teamwork, Hindi, Communication, Punjabi, PowerPoint, Field Work, Customer Support"
District Coordinator,Govt of Punjab - Revenue Dept,Patiala,"Field Work, Typing, Teamwork, Networking"
Office Assistant,Punjab Digital Office,Ludhiana,"Customer Support, Field Work, Communication, Typing, Networking, Excel, Data Entry"
Admin Assistant,Punjab Rural Development Dept,Jalandhar,"Hardware Support, Customer Support, Field Work, Punjabi, Teamwork"
Social Media Assistant,Govt of Punjab - Revenue Dept,Pathankot,"Data Entry, Typing, Documentation, PowerPoint, Customer Support, Tally, English, Excel"
Data Entry Operator,Punjab Rural Development Dept,Jalandhar,"Field Work, Hardware Support, Data Entry, Communication, English, Excel, SQL, Hindi"
Helpdesk Executive,PSEB,Jalandhar,"Field Work, Teamwork, Tally, SQL, Typing, Hardware Support, Communication"
Office Assistant,Punjab Rural Development Dept,Ludhiana,"Punjabi, Hardware Support, Excel, Networking"
Hardware Technician,Punjab Digital Office,Gurdaspur,"PowerPoint, SQL, MS Office, Networking, Typing, Tally, Hindi"
Computer Operator,Govt of Punjab - Revenue Dept,Firozpur,"Hindi, PowerPoint, MS Office, Punjabi, Customer Support"
Career Counsellor,Punjab Rural Development Dept,Bathinda,"Field Work, MS Office, Typing, Hindi, Networking, English, SQL, Communication"
Career Counsellor,PGRKAM Partner Employer,Patiala,"PowerPoint, Punjabi, Teamwork, MS Office"
MIS Executive,PGRKAM Partner Employer,Bathinda,"English, Data Entry, Punjabi, Documentation, Communication, MS Office, Excel, Typing"
IT Support Technician,Punjab Rural Development Dept,Patiala,"Communication, Hardware Support, Punjabi, Data Entry, Excel"
Office Assistant,PGRKAM Partner Employer,Firozpur,"Networking, Typing, Teamwork, Data Entry, Excel"
Computer Operator,Govt of Punjab - Health Dept,Jalandhar,"Tally, PowerPoint, Typing, Field Work, Excel, SQL, Customer Support, Data Entry"
IT Support Technician,Punjab Skill Development Mission,Patiala,"Excel, Tally, Teamwork, PowerPoint"
District Coordinator,Govt of Punjab - Revenue Dept,Amritsar,"Hindi, Tally, Communication, MS Office, PowerPoint, Teamwork, SQL, Networking"
