title,company,location,skills
District Coordinator,District Skill Center,Faridkot,"Field Work, Problem Solving, Punjabi, Teamwork"
Computer Operator,Punjab Employment Office,Bathinda,"Computer Basics, Counselling, MS Office, Phone Handling, Reporting"
Social Media Assistant,Youth Empowerment Mission,Ludhiana,"Data Analysis, Data Entry, Phone Handling, Teamwork, Word"
Community Facilitator,Punjab IT Cell,Jalandhar,"PowerPoint, Reporting, Teamwork"
Junior Clerk,Employment Exchange Punjab,Moga,"Communication, Data Entry, Hindi, Punjabi"
Community Facilitator,Punjab Employment Office,Fazilka,"Communication, English, MS Office, Punjabi, Word"
Junior Clerk,Youth Empowerment Mission,Gurdaspur,"Email Support, Field Work, Punjabi"
Career Counsellor,District Skill Center,Gurdaspur,"Excel, Hardware Support, SQL"
Community Facilitator,Career Guidance Bureau,Tarn Taran,"Accounting, Customer Support, Data Entry, Word"
Community Facilitator,Employment Exchange Punjab,Bathinda,"Communication, Data Entry, Excel, Networking, Phone Handling"
Career Counsellor,Employment Exchange Punjab,Sangrur,"Counselling, Data Analysis, Networking, Word"
Block Coordinator,Employment Exchange Punjab,Patiala,"Networking, Time Management, Word"
Computer Operator,Rozgar Facilitation Center,Moga,"Counselling, Documentation, Field Work, Hardware Support, Problem Solving"
District Coordinator,District Skill Center,Patiala,"Computer Basics, Counselling, Customer Support, Email Support, Hindi, Networking"
MIS Executive,Punjab IT Cell,Jalandhar,"Accounting, Field Work, Phone Handling, Tally, Teamwork, Word"
Junior Clerk,Youth Empowerment Mission,Sangrur,"Counselling, Email Support, English"
Computer Operator,Punjab IT Cell,Moga,"English, Excel, Punjabi"
Computer Operator,District Skill Center,Sangrur,"Counselling, Hardware Support, Reporting, Tally"
Data Entry Operator,Punjab IT Cell,Ferozepur,"Customer Support, Data Analysis, Field Work, Networking"
Data Entry Operator,Rozgar Facilitation Center,Mohali,"Accounting, Data Analysis, Data Entry, Excel, Teamwork, Word"
Apprentice - IT Support,Career Guidance Bureau,Barnala,"Accounting, Field Work, Time Management"
Junior Clerk,Govt of Punjab,Sangrur,"Computer Basics, Excel, Networking"
Computer Operator,Punjab Employment Office,Tarn Taran,"Accounting, Excel, Punjabi"
Apprentice - IT Support,Punjab Employment Office,Barnala,"Accounting, Data Analysis, Documentation, Hardware Support, PowerPoint, Problem Solving, Reporting"
Social Media Assistant,Rozgar Facilitation Center,Moga,"Data Entry, Documentation, Networking, Reporting, SQL, Word"
District Coordinator,Punjab Employment Office,Jalandhar,"Email Support, Excel, Problem Solving, SQL"
Computer Operator,Employment Exchange Punjab,Tarn Taran,"Counselling, Customer Support, Data Analysis, Excel, Hindi, Phone Handling, Problem Solving"
Community Facilitator,Govt of Punjab,Hoshiarpur,"Computer Basics, Documentation, Hindi, Tally, Teamwork, Time Management"
District Coordinator,Govt of Punjab,Barnala,"Counselling, Excel, Reporting"
Apprentice - IT Support,Rozgar Facilitation Center,Mansa,"Customer Support, Hindi, Networking"
Lab Technician,District Skill Center,Mohali,"Accounting, Excel, Phone Handling, Problem Solving, Reporting, SQL"
Junior Clerk,Youth Empowerment Mission,Mohali,"Customer Support, Email Support, Hardware Support, MS Office, Phone Handling, Problem Solving"
Community Facilitator,Punjab Employment Office,Patiala,"Accounting, Field Work, Hindi, Networking, Word"
District Coordinator,Punjab IT Cell,Moga,"Accounting, Data Analysis, Data Entry, Hardware Support, Teamwork, Word"
Data Entry Operator,Govt of Punjab,Mohali,"Data Entry, Documentation, Field Work, Hardware Support, Hindi, Phone Handling, Reporting"
Data Entry Operator,Youth Empowerment Mission,Faridkot,"Customer Support, Field Work, Hindi, Teamwork"
Data Entry Operator,Employment Exchange Punjab,Amritsar,"Computer Basics, Data Analysis, Data Entry, Excel, Word"
Career Counsellor,Punjab Employment Office,Tarn Taran,"Accounting, Communication, Documentation, Email Support, Hindi, SQL"
Block Coordinator,Govt of Punjab,Patiala,"Communication, Customer Support, Field Work, Hindi"
Social Media Assistant,Career Guidance Bureau,Moga,"Communication, English, Networking, SQL"
Helpdesk Executive,Career Guidance Bureau,Barnala,"Accounting, Documentation, Email Support, Hardware Support"
Lab Technician,Youth Empowerment Mission,Sangrur,"Counselling, Data Analysis, Email Support, SQL, Tally"
Career Counsellor,District Skill Center,Tarn Taran,"Customer Support, Excel, Reporting"
Community Facilitator,District Skill Center,Bathinda,"Customer Support, Hindi, Networking, Phone Handling, Problem Solving, Punjabi, Reporting"
Block Coordinator,Rozgar Facilitation Center,Mohali,"Email Support, MS Office, Reporting"
Junior Clerk,Punjab IT Cell,Patiala,"Data Analysis, Excel, Hindi, MS Office, Phone Handling, Problem Solving, Word"
Data Entry Operator,Rozgar Facilitation Center,Hoshiarpur,"Communication, Computer Basics, English, Excel"
Junior Clerk,Punjab Employment Office,Amritsar,"Computer Basics, Counselling, Data Analysis, English, Word"
Data Entry Operator,Rozgar Facilitation Center,Faridkot,"Communication, Field Work, MS Office, Phone Handling, PowerPoint, Word"
Community Facilitator,Rozgar Facilitation Center,Ferozepur,"Computer Basics, Customer Support, Tally"
Social Media Assistant,Career Guidance Bureau,Barnala,"Computer Basics, Counselling, Data Entry, Phone Handling, Problem Solving, Tally, Teamwork"
Community Facilitator,District Skill Center,Fazilka,"Computer Basics, Field Work, Hindi, Phone Handling, SQL"
Career Counsellor,Career Guidance Bureau,Barnala,"Counselling, Customer Support, Networking, SQL, Time Management"
Apprentice - IT Support,Punjab Employment Office,Tarn Taran,"Computer Basics, Counselling, Hardware Support, Problem Solving, SQL, Word"
Social Media Assistant,Employment Exchange Punjab,Amritsar,"Accounting, Communication, Computer Basics, Data Analysis, PowerPoint, Punjabi"
Social Media Assistant,Rozgar Facilitation Center,Mohali,"Accounting, Communication, Data Entry, MS Office, PowerPoint, Problem Solving, Time Management"
Social Media Assistant,District Skill Center,Patiala,"Customer Support, Data Entry, Documentation, English, Reporting, Word"
District Coordinator,Employment Exchange Punjab,Mohali,"Computer Basics, Counselling, Hardware Support, Phone Handling"
Block Coordinator,Rozgar Facilitation Center,Hoshiarpur,"Data Analysis, PowerPoint, Reporting"
MIS Executive,Employment Exchange Punjab,Mohali,"Communication, Customer Support, Email Support, Excel, Hindi, Problem Solving, Word"
Apprentice - IT Support,Punjab Employment Office,Bathinda,"Computer Basics, Documentation, Email Support, English, Networking, Word"
Block Coordinator,Employment Exchange Punjab,Faridkot,"Customer Support, MS Office, SQL, Teamwork"
Career Counsellor,Govt of Punjab,Tarn Taran,"Customer Support, Email Support, Punjabi, Time Management"
District Coordinator,Rozgar Facilitation Center,Fazilka,"Communication, Email Support, Hardware Support"
Lab Technician,Punjab Employment Office,Ludhiana,"Accounting, Data Entry, Word"
Block Coordinator,Punjab IT Cell,Ferozepur,"Communication, Computer Basics, Data Entry, Hardware Support, Phone Handling, PowerPoint, Word"
Apprentice - IT Support,Govt of Punjab,Pathankot,"Data Entry, English, Excel, Field Work, Hindi, Punjabi, Time Management"
Helpdesk Executive,Youth Empowerment Mission,Fazilka,"Data Analysis, Email Support, MS Office, Networking, Punjabi, Tally, Teamwork"
Community Facilitator,District Skill Center,Amritsar,"Accounting, Computer Basics, Data Analysis, English, Hardware Support"
Community Facilitator,District Skill Center,Gurdaspur,"Counselling, Email Support, Excel, Hardware Support, Phone Handling, Tally"
District Coordinator,Career Guidance Bureau,Bathinda,"Computer Basics, Counselling, Field Work, Phone Handling, Problem Solving, Teamwork"
Lab Technician,Punjab IT Cell,Mansa,"Counselling, Documentation, English, Hardware Support, Hindi, MS Office, Tally"
Apprentice - IT Support,Punjab Employment Office,Mohali,"Counselling, Documentation, Email Support, Hardware Support, Punjabi, SQL"
Helpdesk Executive,Youth Empowerment Mission,Amritsar,"Data Analysis, Data Entry, Field Work"
Social Media Assistant,Punjab IT Cell,Ludhiana,"Computer Basics, Excel, Phone Handling, Tally"
Community Facilitator,Rozgar Facilitation Center,Moga,"Computer Basics, Data Analysis, Data Entry, Problem Solving, Punjabi, Tally"
Computer Operator,Punjab Employment Office,Ludhiana,"Data Entry, Field Work, SQL"
Junior Clerk,District Skill Center,Gurdaspur,"Customer Support, MS Office, Tally, Time Management"
Lab Technician,Punjab IT Cell,Barnala,"Phone Handling, Punjabi, Word"
Apprentice - IT Support,Punjab Employment Office,Mansa,"Customer Support, Phone Handling, Tally"
Block Coordinator,Govt of Punjab,Mohali,"Email Support, Hardware Support, PowerPoint"
Helpdesk Executive,Punjab IT Cell,Faridkot,"Communication, Counselling, Data Analysis, Hardware Support, MS Office, Tally, Time Management"
Community Facilitator,District Skill Center,Ferozepur,"Hindi, PowerPoint, SQL"
Social Media Assistant,Punjab IT Cell,Patiala,"Accounting, Computer Basics, MS Office, Reporting"
Computer Operator,Govt of Punjab,Mohali,"Accounting, Customer Support, Time Management"
Community Facilitator,District Skill Center,Ferozepur,"Accounting, Communication, Counselling, Data Analysis, Hindi, Networking, Punjabi"
Community Facilitator,Govt of Punjab,Amritsar,"Communication, Email Support, Hardware Support, Hindi, Reporting, SQL"
Junior Clerk,Career Guidance Bureau,Pathankot,"Communication, Data Analysis, Field Work, Networking, Problem Solving, Tally"
Helpdesk Executive,Punjab IT Cell,Patiala,"Accounting, Punjabi, Word"
Community Facilitator,Punjab Employment Office,Moga,"Customer Support, Data Entry, Hindi, SQL, Teamwork, Time Management"
Lab Technician,Career Guidance Bureau,Mohali,"Counselling, Data Entry, Documentation, Email Support, Excel, Reporting"
Block Coordinator,Employment Exchange Punjab,Mohali,"Computer Basics, MS Office, Punjabi, Word"
Data Entry Operator,District Skill Center,Patiala,"Data Entry, Field Work, Networking, Phone Handling, Tally, Teamwork"
Block Coordinator,Employment Exchange Punjab,Ludhiana,"Accounting, English, Field Work, Hindi, Problem Solving, Punjabi, Teamwork"
Community Facilitator,Employment Exchange Punjab,Gurdaspur,"Accounting, Counselling, Documentation, English, Hardware Support, Hindi, Teamwork"
District Coordinator,Career Guidance Bureau,Fazilka,"Email Support, Field Work, MS Office, Networking, Punjabi, Time Management, Word"
District Coordinator,Govt of Punjab,Fazilka,"Accounting, Counselling, Customer Support, Email Support, Excel, Networking, Tally"
Community Facilitator,Youth Empowerment Mission,Hoshiarpur,"Customer Support, Data Entry, Excel"
Career Counsellor,Employment Exchange Punjab,Faridkot,"Accounting, Counselling, Excel, Punjabi, Time Management"
District Coordinator,Rozgar Facilitation Center,Sangrur,"Counselling, Data Analysis, Email Support, Networking, Reporting, Teamwork, Time Management"
Computer Operator,Career Guidance Bureau,Gurdaspur,"Accounting, Communication, Field Work, Reporting"
Data Entry Operator,District Skill Center,Bathinda,"Computer Basics, Counselling, Field Work, Networking, PowerPoint, Teamwork"
Career Counsellor,District Skill Center,Moga,"Documentation, Email Support, Phone Handling, Punjabi"
MIS Executive,Youth Empowerment Mission,Ferozepur,"Customer Support, Phone Handling, Punjabi"
Computer Operator,Career Guidance Bureau,Bathinda,"Communication, Hindi, Reporting, Teamwork, Time Management, Word"
Social Media Assistant,Youth Empowerment Mission,Mansa,"Data Analysis, Email Support, MS Office, Punjabi"
Computer Operator,Employment Exchange Punjab,Patiala,"Computer Basics, Excel, Field Work, Phone Handling, Problem Solving, Punjabi"
Apprentice - IT Support,Govt of Punjab,Ludhiana,"Accounting, Networking, Punjabi, Teamwork"
Social Media Assistant,Employment Exchange Punjab,Ludhiana,"MS Office, Phone Handling, Problem Solving"
Computer Operator,Career Guidance Bureau,Tarn Taran,"Accounting, Communication, Counselling, Field Work, Problem Solving, Tally, Word"
Career Counsellor,Punjab Employment Office,Jalandhar,"Data Entry, Hardware Support, MS Office"
Social Media Assistant,Punjab IT Cell,Jalandhar,"Accounting, Email Support, Excel, Field Work, Problem Solving, Tally"
MIS Executive,Govt of Punjab,Mohali,"Counselling, Excel, Hardware Support, Phone Handling"
Social Media Assistant,Govt of Punjab,Faridkot,"Data Entry, Reporting, Tally"
Block Coordinator,Punjab Employment Office,Moga,"Accounting, Customer Support, Field Work"
Data Entry Operator,Employment Exchange Punjab,Bathinda,"Counselling, Data Analysis, Email Support"
Computer Operator,Punjab Employment Office,Ferozepur,"PowerPoint, Reporting, Time Management, Word"
Lab Technician,Employment Exchange Punjab,Moga,"Data Entry, English, Hardware Support"
Junior Clerk,Rozgar Facilitation Center,Mansa,"Counselling, Documentation, Email Support, Excel, Field Work, PowerPoint, Word"
MIS Executive,Punjab IT Cell,Hoshiarpur,"Computer Basics, Email Support, English, Hindi, Teamwork"
Lab Technician,Career Guidance Bureau,Ludhiana,"Accounting, Computer Basics, Email Support, Hardware Support, MS Office, Phone Handling"
Computer Operator,Punjab Employment Office,Faridkot,"Customer Support, Field Work, SQL, Time Management"
Junior Clerk,Punjab IT Cell,Sangrur,"Data Analysis, MS Office, Reporting"
District Coordinator,Employment Exchange Punjab,Faridkot,"Counselling, Hardware Support, Hindi, Reporting, Teamwork"
Computer Operator,Career Guidance Bureau,Faridkot,"Counselling, Customer Support, English, Hindi, Problem Solving, SQL, Time Management"
District Coordinator,Rozgar Facilitation Center,Moga,"Customer Support, Excel, MS Office"
Community Facilitator,Punjab Employment Office,Amritsar,"Computer Basics, Counselling, Documentation, English, MS Office, Tally, Time Management"
Apprentice - IT Support,District Skill Center,Gurdaspur,"Computer Basics, Data Entry, Documentation, Hardware Support, Phone Handling, Tally, Teamwork"
Block Coordinator,District Skill Center,Bathinda,"Counselling, Email Support, Excel, Field Work, Hindi, Phone Handling"
Helpdesk Executive,Punjab Employment Office,Tarn Taran,"Documentation, Networking, Phone Handling, Reporting, Word"
District Coordinator,Rozgar Facilitation Center,Patiala,"Email Support, Reporting, SQL"
Community Facilitator,Govt of Punjab,Amritsar,"Communication, Email Support, Excel, Problem Solving, SQL, Word"
Data Entry Operator,Youth Empowerment Mission,Bathinda,"Email Support, Networking, SQL, Tally, Teamwork, Word"
Helpdesk Executive,Punjab Employment Office,Ferozepur,"Counselling, Phone Handling, Punjabi"
Career Counsellor,Career Guidance Bureau,Moga,"Accounting, Communication, MS Office, Problem Solving"
Apprentice - IT Support,Career Guidance Bureau,Ferozepur,"Counselling, Customer Support, Hardware Support, Time Management"
Apprentice - IT Support,Career Guidance Bureau,Patiala,"Customer Support, MS Office, PowerPoint, Problem Solving, SQL, Time Management"
District Coordinator,Rozgar Facilitation Center,Mansa,"Computer Basics, Customer Support, Documentation, Hardware Support, Networking, Phone Handling, SQL"
MIS Executive,Rozgar Facilitation Center,Moga,"Computer Basics, PowerPoint, Problem Solving"
Junior Clerk,Punjab Employment Office,Bathinda,"Counselling, MS Office, Punjabi, SQL"
District Coordinator,Employment Exchange Punjab,Bathinda,"Communication, Problem Solving, Reporting"
Computer Operator,Punjab Employment Office,Ferozepur,"Email Support, Excel, Problem Solving, Teamwork, Word"
Community Facilitator,Youth Empowerment Mission,Faridkot,"Data Entry, Email Support, MS Office, PowerPoint, Punjabi, Tally"
Block Coordinator,Youth Empowerment Mission,Ludhiana,"Accounting, Counselling, Data Entry, Excel, Networking, Phone Handling, Problem Solving"
Community Facilitator,Punjab Employment Office,Amritsar,"Communication, Email Support, English, Phone Handling, Word"
Block Coordinator,Youth Empowerment Mission,Mohali,"Communication, Documentation, Networking, Problem Solving, Punjabi"
Career Counsellor,Rozgar Facilitation Center,Ferozepur,"Computer Basics, English, Punjabi, Tally"
Helpdesk Executive,Punjab IT Cell,Patiala,"Data Analysis, Hardware Support, Punjabi"
Junior Clerk,Punjab IT Cell,Tarn Taran,"Accounting, Data Analysis, Documentation, English, Hardware Support, Networking, Time Management"
Lab Technician,Rozgar Facilitation Center,Ludhiana,"Networking, Problem Solving, Tally"
Computer Operator,Punjab Employment Office,Moga,"Accounting, Excel, Hindi, Networking, SQL, Teamwork"
MIS Executive,Youth Empowerment Mission,Ferozepur,"Data Entry, Field Work, Hindi, MS Office, PowerPoint, Punjabi, Reporting"
Lab Technician,Career Guidance Bureau,Barnala,"Data Analysis, Phone Handling, Tally, Time Management"
District Coordinator,District Skill Center,Jalandhar,"Counselling, Data Entry, Field Work, PowerPoint, Problem Solving, Tally"
Apprentice - IT Support,District Skill Center,Barnala,"Accounting, Counselling, Hindi, Phone Handling, Punjabi, Teamwork"
Helpdesk Executive,District Skill Center,Barnala,"Data Entry, Email Support, Tally, Time Management"
Helpdesk Executive,Govt of Punjab,Faridkot,"Hardware Support, Problem Solving, SQL"
Social Media Assistant,Employment Exchange Punjab,Tarn Taran,"Networking, Reporting, Teamwork"
Block Coordinator,Punjab Employment Office,Barnala,"Hardware Support, Hindi, Problem Solving, Reporting, Tally, Time Management"
Block Coordinator,Rozgar Facilitation Center,Tarn Taran,"Communication, Computer Basics, Documentation, English, Phone Handling, Problem Solving, Word"
Helpdesk Executive,Rozgar Facilitation Center,Ferozepur,"Data Analysis, Email Support, Hardware Support, Punjabi, SQL, Time Management, Word"
Apprentice - IT Support,District Skill Center,Jalandhar,"Counselling, Customer Support, Email Support, Field Work"
Helpdesk Executive,Career Guidance Bureau,Faridkot,"Hardware Support, Networking, Phone Handling, Problem Solving"
Community Facilitator,Rozgar Facilitation Center,Mohali,"Counselling, Data Entry, Excel, Networking, Reporting, Word"
Data Entry Operator,Punjab Employment Office,Tarn Taran,"Accounting, Counselling, Data Entry, English"
Data Entry Operator,Punjab Employment Office,Faridkot,"Computer Basics, Data Entry, Excel, Field Work, MS Office, PowerPoint, Tally"
Block Coordinator,Rozgar Facilitation Center,Bathinda,"Communication, Field Work, PowerPoint, Tally, Time Management"
Junior Clerk,Govt of Punjab,Moga,"Accounting, Communication, Data Analysis, Email Support"
Junior Clerk,Rozgar Facilitation Center,Pathankot,"Communication, Excel, MS Office, Problem Solving, Teamwork"
Block Coordinator,Punjab Employment Office,Pathankot,"Hardware Support, Phone Handling, Punjabi"
District Coordinator,Career Guidance Bureau,Mansa,"Accounting, MS Office, PowerPoint, Teamwork"
Community Facilitator,Punjab Employment Office,Sangrur,"Accounting, Computer Basics, English, Networking, Problem Solving, Tally"
Computer Operator,Rozgar Facilitation Center,Fazilka,"Communication, Computer Basics, Counselling, Data Entry, MS Office, PowerPoint, Punjabi"
Data Entry Operator,District Skill Center,Hoshiarpur,"Customer Support, Data Entry, Documentation, Problem Solving, SQL, Time Management, Word"
Career Counsellor,Career Guidance Bureau,Bathinda,"Communication, Counselling, Customer Support, Data Entry, Excel, Word"
District Coordinator,Rozgar Facilitation Center,Barnala,"Computer Basics, English, Field Work, Hardware Support"
Data Entry Operator,Career Guidance Bureau,Jalandhar,"Data Entry, MS Office, Networking, Tally"
MIS Executive,Career Guidance Bureau,Amritsar,"Computer Basics, Data Analysis, Hindi, MS Office, Phone Handling, Time Management"
Career Counsellor,Employment Exchange Punjab,Moga,"Accounting, Data Entry, Field Work, Hindi, Teamwork"
Helpdesk Executive,Govt of Punjab,Barnala,"Communication, Documentation, Excel, Phone Handling, Reporting, SQL, Tally"
Block Coordinator,Punjab IT Cell,Hoshiarpur,"Accounting, Counselling, Data Analysis, Documentation, Hardware Support, Phone Handling, Word"
Data Entry Operator,Govt of Punjab,Ludhiana,"Customer Support, Email Support, Hindi, MS Office, Networking, Tally"
Data Entry Operator,District Skill Center,Mansa,"English, MS Office, Phone Handling"
Junior Clerk,Govt of Punjab,Jalandhar,"Accounting, Computer Basics, Hindi, Phone Handling, PowerPoint, Reporting, Teamwork"
District Coordinator,Youth Empowerment Mission,Ferozepur,"Counselling, Data Analysis, Documentation, MS Office, Problem Solving, Tally"
Data Entry Operator,Rozgar Facilitation Center,Mohali,"Communication, Computer Basics, Data Analysis, Hardware Support, Tally, Teamwork, Word"
District Coordinator,Youth Empowerment Mission,Hoshiarpur,"Excel, Field Work, MS Office, Reporting"
Computer Operator,Employment Exchange Punjab,Fazilka,"Counselling, Customer Support, Field Work, Phone Handling, SQL, Time Management"
Lab Technician,District Skill Center,Hoshiarpur,"Communication, Counselling, Customer Support, Data Entry, PowerPoint, Problem Solving, SQL"
District Coordinator,Rozgar Facilitation Center,Amritsar,"Computer Basics, Hindi, PowerPoint, Punjabi, SQL"
Social Media Assistant,Govt of Punjab,Amritsar,"Accounting, Data Analysis, Field Work, Networking, Phone Handling"
Apprentice - IT Support,District Skill Center,Amritsar,"Data Entry, Hardware Support, Hindi"
Junior Clerk,Govt of Punjab,Hoshiarpur,"Customer Support, English, MS Office, Networking, Problem Solving, Reporting"
Community Facilitator,Punjab Employment Office,Jalandhar,"Customer Support, Documentation, Excel, MS Office, Reporting, Time Management, Word"
Career Counsellor,Career Guidance Bureau,Gurdaspur,"Computer Basics, Counselling, Email Support, Hardware Support"
Social Media Assistant,Career Guidance Bureau,Moga,"Counselling, Email Support, Excel, Punjabi, Word"
